size,date
11.22,2011-03
8.12,2011-03
10.62,2011-03
8.41,2011-03
10.38,2011-03
9.6,2011-03
10.98,2011-03
10.39,2011-03
9.73,2011-03
7.18,2011-03
9.37,2011-03
8.4,2011-03
9.24,2011-03
10.09,2011-03
10.5,2011-03
11.5,2011-03
11.31,2011-03
9.06,2011-03
10.05,2011-03
7.06,2011-03
7.61,2011-03
11.32,2011-03
10.05,2011-03
11.92,2011-03
6.61,2011-03
7.89,2011-03
10.59,2011-03
13.94,2011-03
18.24,2011-03
18.61,2011-03
18.24,2011-03
15.88,2011-03
19.35,2011-03
16.16,2011-03
14.54,2011-03
14.77,2011-03
16.82,2011-03
16.8,2011-03
19.01,2011-03
17.58,2011-03
16.79,2011-03
14.46,2011-03
17.65,2011-03
20.9,2011-03
16.72,2011-03
14.35,2011-03
20.16,2011-03
18.96,2011-03
18.28,2011-03
20.33,2011-03
18.64,2011-03
19.37,2011-03
16.54,2011-03
19.45,2011-03
16.89,2011-03
17.9,2011-03
17.49,2011-03
13.64,2011-03
18.78,2011-03
19.89,2011-03
16.93,2011-03
15.76,2011-03
16.41,2011-03
18.35,2011-03
17.47,2011-03
20.28,2011-03
18.96,2011-03
17.14,2011-03
22.39,2011-03
18.74,2011-03
16.97,2011-03
21.64,2011-03
16.66,2011-03
16.38,2011-03
17.12,2011-03
17.97,2011-03
17.18,2011-03
18.39,2011-03
17.57,2011-03
16.77,2011-03
18.28,2011-03
19.28,2011-03
19.84,2011-03
19.4,2011-03
18.56,2011-03
15.43,2011-03
19.82,2011-03
21,2011-03
18.92,2011-03
19.16,2011-03
11.82,2011-03
17.78,2011-03
14.91,2011-03
14.55,2011-03
19.68,2011-03
18.28,2011-03
24.15,2011-03
23.95,2011-03
25.16,2011-03
28.35,2011-03
29.2,2011-03
28.08,2011-03
25.42,2011-03
25.24,2011-03
28.38,2011-03
26.75,2011-03
27.08,2011-03
29.62,2011-03
27.41,2011-03
23.99,2011-03
26.14,2011-03
26.7,2011-03
26.9,2011-03
26.14,2011-03
25.04,2011-03
26.33,2011-03
28.26,2011-03
31.41,2011-03
26.62,2011-03
32.27,2011-03
23.23,2011-03
24.91,2011-03
28.42,2011-03
27.26,2011-03
24.93,2011-03
28.1,2011-03
28.39,2011-03
23.07,2011-03
28.67,2011-03
31.56,2011-03
24.13,2011-03
23.19,2011-03
27.33,2011-03
29.37,2011-03
35.3,2011-03
31.01,2011-03
34.42,2011-03
31.33,2011-03
35.73,2011-03
35.65,2011-03
30.75,2011-03
35.85,2011-03
33.64,2011-03
31.32,2011-03
34.61,2011-03
34.9,2011-03
35.52,2011-03
35.63,2011-03
30.14,2011-03
31.33,2011-03
35.38,2011-03
35.69,2011-03
32.5,2011-03
28.55,2011-03
35.45,2011-03
5.79,2011-09
7.61,2011-09
7.11,2011-09
5.92,2011-09
8.63,2011-09
8.18,2011-09
5.35,2011-09
7.53,2011-09
7.35,2011-09
4.56,2011-09
5.99,2011-09
8.59,2011-09
7.57,2011-09
6.66,2011-09
5.65,2011-09
6.01,2011-09
4.71,2011-09
4.94,2011-09
5.8,2011-09
6.63,2011-09
4.74,2011-09
7.54,2011-09
6.18,2011-09
6.77,2011-09
6.03,2011-09
6.65,2011-09
7.12,2011-09
6.89,2011-09
7.23,2011-09
4.98,2011-09
4.97,2011-09
4.16,2011-09
5.73,2011-09
5.07,2011-09
5.46,2011-09
8.59,2011-09
7.99,2011-09
3.37,2011-09
6.81,2011-09
3.31,2011-09
6.65,2011-09
2.87,2011-09
5.66,2011-09
6.04,2011-09
5.56,2011-09
5.07,2011-09
4.46,2011-09
4.72,2011-09
5.5,2011-09
5.63,2011-09
5.53,2011-09
6.71,2011-09
5.03,2011-09
6.51,2011-09
5.45,2011-09
8.75,2011-09
4.87,2011-09
5.66,2011-09
2.21,2011-09
7.13,2011-09
7.82,2011-09
4.28,2011-09
4.4,2011-09
6.56,2011-09
6.62,2011-09
5.15,2011-09
6.41,2011-09
4.7,2011-09
7.02,2011-09
6.43,2011-09
6.67,2011-09
8.07,2011-09
6.47,2011-09
6.57,2011-09
5.06,2011-09
6.8,2011-09
7.21,2011-09
6.85,2011-09
7.94,2011-09
4.52,2011-09
5.08,2011-09
6.18,2011-09
7.18,2011-09
5.7,2011-09
4.63,2011-09
8.69,2011-09
4.85,2011-09
6.53,2011-09
5.53,2011-09
6.27,2011-09
5.63,2011-09
8.55,2011-09
8.08,2011-09
5.69,2011-09
5.73,2011-09
6.14,2011-09
6.4,2011-09
3.42,2011-09
6.89,2011-09
9.26,2011-09
3.62,2011-09
7.71,2011-09
6.28,2011-09
8.41,2011-09
5.65,2011-09
6.15,2011-09
5.1,2011-09
3.57,2011-09
5.04,2011-09
8.88,2011-09
5.6,2011-09
4.14,2011-09
4.31,2011-09
5.71,2011-09
7.39,2011-09
7.81,2011-09
6.57,2011-09
7.99,2011-09
5.03,2011-09
4.56,2011-09
5.26,2011-09
7.34,2011-09
6.96,2011-09
6.08,2011-09
5.19,2011-09
9.3,2011-09
7.76,2011-09
6.13,2011-09
4.39,2011-09
5.76,2011-09
5.01,2011-09
12.56,2011-09
11.21,2011-09
13.95,2011-09
9.23,2011-09
13.15,2011-09
11.85,2011-09
14.56,2011-09
12.49,2011-09
13.73,2011-09
16.47,2011-09
14.38,2011-09
12.43,2011-09
14.99,2011-09
12.47,2011-09
14.24,2011-09
11.58,2011-09
14.7,2011-09
12.28,2011-09
13.75,2011-09
13.96,2011-09
10.4,2011-09
9.43,2011-09
14.92,2011-09
17.62,2011-09
11.04,2011-09
14.94,2011-09
10.48,2011-09
10.37,2011-09
13.73,2011-09
13.07,2011-09
14.97,2011-09
10.95,2011-09
14.76,2011-09
11.22,2011-09
11.94,2011-09
12.48,2011-09
13.51,2011-09
15.19,2011-09
12.9,2011-09
13.24,2011-09
14.47,2011-09
14.5,2011-09
10.2,2011-09
14.37,2011-09
12.69,2011-09
14.9,2011-09
12.41,2011-09
15.2,2011-09
14.62,2011-09
12.42,2011-09
11.55,2011-09
16.93,2011-09
11.7,2011-09
12.5,2011-09
13.06,2011-09
10.57,2011-09
17.52,2011-09
13.29,2011-09
13.12,2011-09
14.63,2011-09
11.68,2011-09
14.16,2011-09
14.52,2011-09
11.37,2011-09
11.74,2011-09
13.15,2011-09
12.55,2011-09
13.49,2011-09
13.22,2011-09
12.5,2011-09
10.09,2011-09
12.01,2011-09
26.1,2011-09
24.91,2011-09
20.15,2011-09
24.79,2011-09
23.13,2011-09
26.01,2011-09
23.15,2011-09
25.64,2011-09
21.13,2011-09
21.55,2011-09
20.12,2011-09
20.72,2011-09
21.66,2011-09
21.98,2011-09
25.35,2011-09
20.54,2011-09
23.7,2011-09
21.27,2011-09
22.82,2011-09
26.52,2011-09
21.04,2011-09
26.09,2011-09
21.84,2011-09
26.23,2011-09
21.29,2011-09
22.21,2011-09
21.08,2011-09
21.98,2011-09
23.6,2011-09
25.11,2011-09
23.85,2011-09
21.29,2011-09
23.58,2011-09
20.38,2011-09
26.32,2011-09
23.69,2011-09
22.53,2011-09
23.78,2011-09
22.64,2011-09
30.03,2011-09
30.75,2011-09
30.13,2011-09
27.43,2011-09
27.58,2011-09
26.5,2011-09
28.88,2011-09
32.22,2011-09
25.76,2011-09
34.44,2011-09
38.86,2011-09
28.34,2011-09
31.76,2011-09
29.55,2011-09
31.54,2011-09
31.67,2011-09
39.33,2011-09
29.01,2011-09
29.04,2011-09
35.28,2011-09
29.27,2011-09
31.57,2011-09
36.94,2011-09
33.53,2011-09
36.25,2011-09
40.72,2011-09
34.99,2011-09
37.31,2011-09
39.36,2011-09
32.97,2011-09
35.26,2011-09
39.43,2011-09
34.98,2011-09
31.96,2011-09
4.11,2012-03
3.17,2012-03
3.09,2012-03
5.02,2012-03
6.78,2012-03
3.72,2012-03
3.27,2012-03
1.58,2012-03
4.21,2012-03
5.4,2012-03
5.53,2012-03
4.73,2012-03
3.75,2012-03
4.79,2012-03
3.17,2012-03
4.38,2012-03
3.47,2012-03
3,2012-03
4.36,2012-03
5.48,2012-03
4.12,2012-03
3.74,2012-03
4.39,2012-03
1.82,2012-03
4.47,2012-03
4.77,2012-03
3.54,2012-03
2.61,2012-03
5.31,2012-03
3.7,2012-03
3.93,2012-03
4.11,2012-03
4.29,2012-03
3.89,2012-03
4.91,2012-03
5.47,2012-03
5.11,2012-03
2.99,2012-03
6.17,2012-03
4.26,2012-03
2.25,2012-03
5.52,2012-03
3.93,2012-03
4.37,2012-03
3.47,2012-03
3.45,2012-03
3.24,2012-03
3.35,2012-03
4.16,2012-03
4.37,2012-03
3.96,2012-03
3,2012-03
3.97,2012-03
4.15,2012-03
5.47,2012-03
3.27,2012-03
1.13,2012-03
6.01,2012-03
3.57,2012-03
4.16,2012-03
3.41,2012-03
3.1,2012-03
4.78,2012-03
5.89,2012-03
